"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"100822","Techniques d''usinage","1","7","","",""
"100825","Techniques de fonderie","1","10","","",""
"100827","Electroacoustique","1","10","","",""
"100827","Electroacoustique","1","7","","",""
"100835","Vernissage au tampon","1","10","","",""
"100836","Réaliser des décors de ciselure, travail en percée","2","9","","",""
"100837","Réaliser des décors de filet","2","9","","",""
"100838","Réaliser des décors d''incrustation d''éléments (nacre, ivoire, ...)","2","9","","",""
"100839","Réaliser des décors de peinture","2","9","","",""
"100840","Réaliser des décors de sculpture","2","9","","",""
"100842","Organologie","1","10","","",""
"100854","Techniques de traçage","1","10","","",""
"100854","Techniques de traçage","1","7","","",""
"100856","Réaliser des éléments de mobilier","2","9","","",""
"100857","Réaliser des éléments de serrurerie, quincaillerie d''art","2","9","","",""
"100858","Réaliser des escaliers, rambardes, mezzanines, pergola, vitrines","2","9","","",""
"100859","Réaliser des grilles ornementales","2","9","","",""
"100861","Réaliser des luminaires","2","9","","",""
"100862","Réaliser des objets décoratifs","2","9","","",""
"100864","Réaliser des statuaires monumentales","2","9","","",""
"100865","Utilisation de machines à façonner les clés","1","10","","",""
"100871","Réaliser des ouvrages en métaux précieux","2","9","","",""
"100888","Réaliser des cliquetages","2","9","","",""
"100890","Réaliser des gravures, guillochages","2","9","","",""
"100897","Appliquer une couche de métal par bronzage","2","9","","",""
"100898","Vérifier la faisabilité de la commande (dimensions de la pièce en verre, aspect esthétique, ...), définir et arrêter avec le client les conditions de réalisation (délais, coût, ...)","2","6","","",""
"100901","Souffler le verre pour le mettre en forme (soufflage, étirement, torsion, ...) et veiller au maintien de sa température (arche de recuisson, fours de réchauffe, ...)","2","6","","",""
"100904","Lecture de dessins techniques","1","7","","",""
"100905","Caractéristiques et propriétés du verre","1","10","","",""
"100905","Caractéristiques et propriétés du verre","1","7","","",""
"100906","Ergonomie","1","10","","",""
"100906","Ergonomie","1","7","","",""
"100907","Techniques de transformation du verre à froid","1","7","","",""
"100908","Techniques de transformation du verre à chaud","1","7","","",""
"100921","Techniques de marbrage","1","10","","",""
"100922","Techniques de maillochage","1","10","","",""
"100924","Usiner ou assembler le verre selon des opérations de biseautage","2","9","","",""
"100925","Usiner ou assembler le verre selon des opérations de coupe","2","9","","",""
"100926","Usiner ou assembler le verre selon des opérations de perçage","2","9","","",""
"100927","Usiner ou assembler le verre selon des opérations de sciage","2","9","","",""
"100928","Usiner ou assembler le verre selon des opérations de soudure verre","2","9","","",""
"100929","Usiner ou assembler le verre selon des opérations de collage à chaud","2","9","","",""
"100930","Compassage de verre","1","10","","",""
"100931","Bouchardage de verre","1","10","","",""
"100950","Caractéristiques des oxydes","1","10","","",""
"100955","Tracer, couper des plaques et panneaux de verre","2","9","","",""
"100957","Assembler des plaques et panneaux de verre","2","9","","",""
"100958","Techniques de sertissage","1","10","","",""
"100958","Techniques de sertissage","1","7","","",""
"100959","Techniques de référencement du vitrail","1","10","","",""
"100960","Electricité haute tension","1","10","","",""
"100960","Electricité haute tension","1","7","","",""
"100961","Procédés d''étanchéité","1","10","","",""
"100961","Procédés d''étanchéité","1","7","","",""
"100962","Histoire de l''art du verre","1","10","","",""
